,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
141,Crown Duel,Sherwood Smith,24365,1048,4.19,471,2002,True,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Adventure', 'Young Adult Young Adult Fantasy', 'Fantasy Magic', 'Fantasy High Fantasy', 'Science Fiction Fantasy', 'Historical Historical Fiction']",0,,https://www.goodreads.com//book/show/21060.Crown_Duel
142,United We Spy,Ally Carter,31073,2488,4.44,296,2013,True,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Spy Thriller Espionage', 'Fiction', 'Adventure', 'Action', 'Young Adult Teen', 'Womens Fiction Chick Lit']",1,,https://www.goodreads.com//book/show/13580951-united-we-spy
143,The Novice,Trudi Canavan,55560,1434,4.05,577,2004,True,"['Fantasy', 'Young Adult', 'Fantasy Magic', 'Fiction', 'Fantasy High Fantasy', 'Adventure', 'Fantasy Epic Fantasy', 'Childrens', 'Childrens Middle Grade', 'Science Fiction Fantasy']",0,,https://www.goodreads.com//book/show/28250.The_Novice
144,Hot Six,Janet Evanovich,120848,2471,4.18,336,2001,True,"['Mystery', 'Fiction', 'Humor', 'Womens Fiction Chick Lit', 'Romance', 'Mystery Crime', 'Humor Comedy', 'Contemporary', 'Adult', 'Thriller Mystery Thriller']",2,United States,https://www.goodreads.com//book/show/6858.Hot_Six
145,The Wishing Spell,Chris Colfer,105080,8800,4.24,438,2012,True,"['Fantasy', 'Childrens Middle Grade', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy Fairy Tales', 'Adventure', 'Audiobook', 'Fantasy Magic', 'Retellings']",1,,https://www.goodreads.com//book/show/11607446-the-wishing-spell
146,A Voice in the Wind,Francine Rivers,77485,3497,4.56,520,1998,True,"['Christian Fiction', 'Historical Historical Fiction', 'Christian', 'Fiction', 'Romance', 'Historical', 'Romance Historical Romance', 'Adult', 'Romance Christian Romance', 'Religion']",0,,https://www.goodreads.com//book/show/95617.A_Voice_in_the_Wind
147,Perdido Street Station,China Miéville,65045,4960,3.95,623,2003,True,"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Steampunk', 'Fantasy Urban Fantasy', 'Horror', 'Weird Fiction New Weird', 'Science Fiction Fantasy', 'Fantasy Weird Fiction', 'Speculative Fiction']",14,,https://www.goodreads.com//book/show/68494.Perdido_Street_Station
148,Furies of Calderon,Jim Butcher,100910,4218,4.11,504,2005,True,"['Fantasy', 'Fiction', 'Fantasy Epic Fantasy', 'Fantasy High Fantasy', 'Fantasy Magic', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'Audiobook', 'Adult']",0,,https://www.goodreads.com//book/show/29396.Furies_of_Calderon
149,Every Which Way But Dead,Kim Harrison,67867,1489,4.28,501,2005,True,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Paranormal Vampires', 'Paranormal Witches', 'Fantasy Magic', 'Fiction', 'Romance', 'Paranormal Demons', 'Fantasy Supernatural']",0,United States,https://www.goodreads.com//book/show/30263.Every_Which_Way_But_Dead
150,Firefly Lane,Kristin Hannah,242346,19535,4.11,479,2008,True,"['Fiction', 'Womens Fiction Chick Lit', 'Romance', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook', 'Drama', 'Historical Historical Fiction', 'Womens Fiction']",1,United States,https://www.goodreads.com//book/show/1472878.Firefly_Lane
