,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,minmax_norm_ratings,mean_norm_ratings,genres,award
32,Chosen,P.C. Cast,227774,4437,3.91,307,2008,True,4.0,-0.13,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic']",0
33,The Graveyard Book,Neil Gaiman,460866,32761,4.13,307,2008,False,6.06,1.93,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Childrens Middle Grade', 'Childrens', 'Fantasy Paranormal', 'Audiobook', 'Paranormal Ghosts', 'Fantasy Supernatural']",18
34,City of Fallen Angels,Cassandra Clare,511239,23763,4.11,425,2011,True,5.88,1.74,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Magic']",1
35,Untamed,P.C. Cast,221822,3669,3.94,338,2008,True,4.28,0.15,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",0
36,Shatter Me,Tahereh Mafi,317338,30694,3.93,338,2011,True,4.19,0.06,"['Young Adult', 'Science Fiction Dystopia', 'Fantasy', 'Romance', 'Science Fiction', 'Fantasy Paranormal', 'Fiction', 'Young Adult Young Adult Fantasy', 'Fantasy Supernatural', 'Audiobook']",1
37,The Alchemyst,Michael Scott,148669,8510,3.84,369,2008,True,3.34,-0.79,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Adventure', 'Fantasy Mythology', 'Childrens Middle Grade', 'Fantasy Urban Fantasy', 'Childrens', 'Young Adult Young Adult Fantasy']",3
38,Blue Bloods,Melissa de la Cruz,136615,4963,3.69,302,2007,True,1.94,-2.19,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Paranormal Angels']",0
39,Clockwork Prince,Cassandra Clare,471206,24797,4.43,498,2011,True,8.88,4.74,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fantasy Urban Fantasy', 'Fiction', 'Paranormal Angels', 'Paranormal Vampires']",2
40,Inkspell,Cornelia Funke,117418,4157,3.9,635,2005,True,3.91,-0.23,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Childrens Middle Grade', 'Adventure', 'Fantasy Magic', 'Writing Books About Books', 'Young Adult Young Adult Fantasy', 'European Literature German Literature']",2
41,Dark Lover,J.R. Ward,302156,13410,4.17,393,2005,True,6.44,2.31,"['Romance', 'Fantasy Paranormal', 'Paranormal Vampires', 'Romance Paranormal Romance', 'Fantasy', 'Fantasy Urban Fantasy', 'Adult', 'Fiction', 'Fantasy Supernatural', 'Adult Fiction Erotica']",5
42,Beautiful Disaster,Jamie McGuire,571283,28797,4.08,319,2011,True,5.59,1.46,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance Contemporary Romance', 'Academic College', 'Fiction', 'Womens Fiction Chick Lit', 'Adult', 'Love']",1
43,Hunted,P.C. Cast,170393,3528,3.91,323,2009,True,4.0,-0.13,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",1
44,Poison Study,Maria V. Snyder,152984,12036,4.09,427,2007,True,5.69,1.56,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Magic', 'Fiction', 'Fantasy Paranormal', 'Fantasy High Fantasy', 'Young Adult Young Adult Fantasy', 'Adventure', 'New Adult']",3
45,Crescendo,Becca Fitzpatrick,288101,11404,4.02,432,2010,True,5.03,0.9,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1
46,The Catcher in the Rye,J.D. Salinger,2857494,60330,3.81,277,2001,False,3.06,-1.07,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'Academic School', 'Novels', 'Young Adult Coming Of Age', 'Young Adult High School', 'Literature American', 'Academic Read For School']",2
47,Among the Hidden,Margaret Peterson Haddix,114399,6275,3.98,153,2006,True,4.66,0.52,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Childrens Middle Grade', 'Childrens', 'Fantasy', 'Adventure', 'Academic School', 'Young Adult Teen']",5
